bitrate,channels,id,mode,recordId,size,url
"128kbps","Stereo","12424","CBR","1","31617024","http://mds.mds-club.ru/Aleksej_Kvashenko_-_U_kazhdogo_svoja_krov'.mp3"
"128kbps","Stereo","3626","CBR","1","31617024","http://mds.kallisto.ru/Aleksej_Kvashenko_-_U_kazhdogo_svoja_krov'.mp3"
"128kbps","Stereo","11107","CBR","1","31617024","http://mds.datagrad.ru/download/Aleksej_Kvashenko_-_U_kazhdogo_svoja_krov'.mp3"
"128kbps","Stereo","147","CBR","1","31617024","ftp://mds:mds@mds.kallisto.ru/Aleksej_Kvashenko_-_U_kazhdogo_svoja_krov'.mp3"
"128kbps","Stereo","12423","CBR","1","31617024","ftp://mds:mds@ftp.mds-club.ru/Aleksej_Kvashenko_-_U_kazhdogo_svoja_krov'.mp3"
"96kbps","Single channel","12426","CBR","3","34680832","http://mds.mds-club.ru/Boris_Vian_-_Pena_dnej_(33-39).mp3"
"96kbps","Single channel","3627","CBR","3","34680832","http://mds.kallisto.ru/Boris_Vian_-_Pena_dnej_(33-39).mp3"
"96kbps","Single channel","11108","CBR","3","34680832","http://mds.datagrad.ru/download/Boris_Vian_-_Pena_dnej_(33-39).mp3"
"96kbps","Single channel","1613","CBR","3","66600960","ftp://mds:mds@mds.kallisto.ru/Boris_Vian_-_Pena_dnej_(01-12).mp3"
"96kbps","Single channel","1614","CBR","3","67629056","ftp://mds:mds@mds.kallisto.ru/Boris_Vian_-_Pena_dnej_(13-29).mp3"
"96kbps","Single channel","1615","CBR","3","34680832","ftp://mds:mds@mds.kallisto.ru/Boris_Vian_-_Pena_dnej_(33-39).mp3"
"96kbps","Single channel","12425","CBR","3","34680832","ftp://mds:mds@ftp.mds-club.ru/Boris_Vian_-_Pena_dnej_(33-39).mp3"
"160kbps","Joint stereo","12428","CBR","4","21504000","http://mds.mds-club.ru/Boris_Shtern_-_Rejs_tabachnogo_kontrabandista.mp3"
"160kbps","Joint stereo","3628","CBR","4","21504000","http://mds.kallisto.ru/Boris_Shtern_-_Rejs_tabachnogo_kontrabandista.mp3"
"160kbps","Joint stereo","11109","CBR","4","21504000","http://mds.datagrad.ru/download/Boris_Shtern_-_Rejs_tabachnogo_kontrabandista.mp3"
"160kbps","Joint stereo","205","CBR","4","21504000","ftp://mds:mds@mds.kallisto.ru/Boris_Shtern_-_Rejs_tabachnogo_kontrabandista.mp3"
