author,createAt,editAt,following,id,name,radioStation,readedAt
"Алексей Квашенкин","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","1","У каждого своя кровь","","0001-01-01T00:00:00+02:30"
"Борис Виан","2005-08-02T22:33:15+04:00","2006-09-09T16:36:59+04:00","0","3","Пена дней (1-29/33-39 главы)","","0001-01-01T00:00:00+02:30"
"Борис Штерн","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","4","Рейс табачного контрабандиста","","0001-01-01T00:00:00+02:30"
"Борис Штерн","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","5","Чья планета?","","0001-01-01T00:00:00+02:30"
"Габриэль Гарсиа Маркес","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","6","Похороны большой мамы","","0001-01-01T00:00:00+02:30"
"Жерар Клейн","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","7","Планета семи масок","","0001-01-01T00:00:00+02:30"
"Жерар Клейн","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","8","Самые уважаемые профессии Земли","","0001-01-01T00:00:00+02:30"
"Ирина Кузьменко","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","12","Четвертое состояние","","0001-01-01T00:00:00+02:30"
"Лин Сноуден","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","13","Я делаю рекламу","","0001-01-01T00:00:00+02:30"
"Фредерик Пол","2005-08-02T22:33:15+04:00","2011-09-14T19:48:09+04:00","0","20","Человек-схема","","0001-01-01T00:00:00+02:30"
"Эдмонд Гамильтон","2005-08-02T22:33:15+04:00","2006-06-11T21:26:45+04:00","0","21","Манифест","Станция","0001-01-01T00:00:00+02:30"
"Редьярд Киплинг","2005-08-02T22:33:15+04:00","2006-09-09T22:24:23+04:00","0","23","Весенний бег (глава из Маугли)","","0001-01-01T00:00:00+02:30"
"Редьярд Киплинг","2005-08-02T22:33:15+04:00","2006-09-09T22:24:10+04:00","0","24","Тигр, тигр! (глава из Маугли)","","0001-01-01T00:00:00+02:30"
"Ричард Бах","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","25","Иллюзии","","0001-01-01T00:00:00+02:30"
"Ричард Бах","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","26","Чайка по имени Джонатан Ливингстон","","0001-01-01T00:00:00+02:30"
"Роберт Силверберг","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","27","Костяной дом","","0001-01-01T00:00:00+02:30"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","28","Заяц","","0001-01-01T00:00:00+02:30"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","29","Пиявка (часть рассказа)","","0001-01-01T00:00:00+02:30"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-09-26T02:55:24+04:00","0","30","Ритуал (начало)","","0001-01-01T00:00:00+02:30"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","31","Форма","","0001-01-01T00:00:00+02:30"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2006-09-06T21:00:30+04:00","0","32","Язык любви","","0001-01-01T00:00:00+02:30"
"Роджер Желязны","2005-08-02T22:33:15+04:00","2019-12-26T00:05:23+03:00","0","33","Автомобиль-дьявол","Станция","0001-01-01T00:00:00+02:30"
"Роджер Желязны","2005-08-02T22:33:15+04:00","2011-05-30T23:27:49+04:00","0","34","Произведение необыкновенной красоты (Ужасающая красота)","Станция","0001-01-01T00:00:00+02:30"
"Стивен Кинг","2005-08-02T22:33:15+04:00","2016-02-28T14:23:49+03:00","0","37","Долгий джонт","Станция","0001-01-01T00:00:00+02:30"
"Стивен Кинг","2005-08-02T22:33:15+04:00","2016-02-28T14:23:25+03:00","0","38","Оставшийся в живых","Станция","0001-01-01T00:00:00+02:30"
"Стивен Кинг","2005-08-02T22:33:15+04:00","2016-02-28T14:23:16+03:00","0","39","Поле боя","Станция","0001-01-01T00:00:00+02:30"
"Теодор Старджон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","40","Бизнес на страхе","","0001-01-01T00:00:00+02:30"
"Томас Уайльд","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","41","Человек, который управлял собой","","0001-01-01T00:00:00+02:30"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","46","Поцелуй огня","","0001-01-01T00:00:00+02:30"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","47","Разбит, как стеклянный гоблин","","0001-01-01T00:00:00+02:30"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","49","Человек, поглощённый местью","","0001-01-01T00:00:00+02:30"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","50","Эмиссар из Гаммельна","","0001-01-01T00:00:00+02:30"
"Хулио Кортасар","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","51","Граффити","","0001-01-01T00:00:00+02:30"
"Хулио Кортасар","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","52","Истории, которые я рассказываю себе","","0001-01-01T00:00:00+02:30"
"Хулио Кортасар","2005-08-02T22:33:15+04:00","2006-09-09T16:56:56+04:00","0","53","Мы так любим Гленду","","0001-01-01T00:00:00+02:30"
"Эдгар По","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","54","Падение дома Ашеров","","0001-01-01T00:00:00+02:30"
"Александра Давнд-Нэль","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","299","Погоня за учителем","Станция","0001-01-01T00:00:00+02:30"
"Александра Давнд-Нэль","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","300","Чудесное обжорство","Станция","0001-01-01T00:00:00+02:30"
"Герберт Аллан Джайлс","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","301","Отрицающий чудеса","Станция","0001-01-01T00:00:00+02:30"
"Джеймс Джойс","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","303","Мэй Гулдинг","Станция","0001-01-01T00:00:00+02:30"
"Джеймс Джойс","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","304","Определение призрака","Станция","0001-01-01T00:00:00+02:30"
"Джералд Унллоби-Мид","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","305","Под защитой книги","Станция","0001-01-01T00:00:00+02:30"
"Джералд Унллоби-Мид","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","306","Удивительные олени","Станция","0001-01-01T00:00:00+02:30"
"Жан Кокто","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","307","Взгляд смерти","Станция","0001-01-01T00:00:00+02:30"
"Мартин Бубер","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","309","Ошибка","Станция","0001-01-01T00:00:00+02:30"
"Олаф Степлдон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","310","Многие всемирные истории","Станция","0001-01-01T00:00:00+02:30"
"Ричард Фрэнсис Бертон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","312","Поэт и его герои","Станция","0001-01-01T00:00:00+02:30"
"Сантьяго Дабове","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","313","Стать прахом","Станция","0001-01-01T00:00:00+02:30"
"Томас Карлейль","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","314","Настоящий дух","Станция","0001-01-01T00:00:00+02:30"
"У Чэнэнь","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","315","Притча","Станция","0001-01-01T00:00:00+02:30"
"Хулио Кортасар","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","0","317","Захваченный дом","Станция","0001-01-01T00:00:00+02:30"
"Аллен Даллес","2006-09-09T22:22:07+04:00","2006-09-09T22:22:07+04:00","0","1173","Цитата из послевоенной доктрины США","Станция","0001-01-01T00:00:00+02:30"
"Жерар Клейн","2009-05-09T15:31:57+04:00","2009-05-09T15:31:57+04:00","0","1315","Черная магия","Станция","0001-01-01T00:00:00+02:30"
"Фред Саберхаген","2012-02-11T18:03:51+04:00","2012-02-11T18:03:51+04:00","0","1322","Обмен ролями","Муз-ТВ","0001-01-01T00:00:00+02:30"
"Станислав Лем","2013-07-19T11:36:21+04:00","2013-07-19T11:36:21+04:00","0","1336","Существуете ли вы, мистер Джонс?","","0001-01-01T00:00:00+02:30"
"Стивен Кинг","2016-02-28T14:21:57+03:00","2016-02-28T14:21:57+03:00","0","1364","Параноид","Станция","0001-01-01T00:00:00+02:30"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2013-04-13T19:13:48+04:00","1","45","Говорящие гримасы и грани","","0001-01-01T00:00:00+02:30"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2016-01-10T13:25:11+03:00","1","48","Санта Клаус против П.А.У.К.а","Станция","0001-01-01T00:00:00+02:30"
"Станислав Лем","2008-10-22T00:57:32+04:00","2008-10-22T00:57:32+04:00","1","1310","Футурологический конгресс (часть 4)","Станция","0001-01-01T00:00:00+02:30"
"Станислав Лем","2008-10-22T00:57:53+04:00","2008-10-22T00:57:53+04:00","1","1311","Футурологический конгресс (часть 5)","Станция","0001-01-01T00:00:00+02:30"
"Габриэль Гарсиа Маркес","2008-12-26T23:57:10+03:00","2008-12-26T23:57:10+03:00","1","1313","Искусственные розы","Станция","0001-01-01T00:00:00+02:30"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2013-04-13T19:14:00+04:00","2","44","Все пташки возвращаются на насест","","0001-01-01T00:00:00+02:30"
"Габриэль Гарсиа Маркес","2008-12-26T23:51:32+03:00","2008-12-26T23:56:18+03:00","2","1312","Самый красивый утопленник в мире","Станция","0001-01-01T00:00:00+02:30"
"Габриэль Гарсиа Маркес","2012-02-11T18:08:32+04:00","2012-02-11T18:08:32+04:00","3","1323","Добрый фокусник","Станция","0001-01-01T00:00:00+02:30"
"Харлан Эллисон","2013-04-13T19:09:24+04:00","2013-04-13T19:09:24+04:00","3","1335","Открой коробку — найдёшь подарок!","","0001-01-01T00:00:00+02:30"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","56","Демоны","Станция","1996-07-11T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","57","Опека","Станция","1996-07-11T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","3","58","Паломничество на землю","Станция","1996-07-11T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","4","59","Специалист","Станция","1996-07-11T00:00:00+04:00"
"Клиффорд Саймак","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","60","Мир, которого не может быть","Станция","1996-08-01T00:00:00+04:00"
"Клиффорд Саймак","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","61","Дом обновленных","Станция","1996-08-08T00:00:00+04:00"
"Клиффорд Саймак","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","62","Куш","Станция","1996-08-15T00:00:00+04:00"
"Клиффорд Саймак","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","63","Прелесть","Станция","1996-08-22T00:00:00+04:00"
"Клиффорд Саймак","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","64","Отец-основатель","Станция","1996-08-29T00:00:00+04:00"
"Эрик Фрэнк Рассел","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","65","Свидетельствую","Станция","1996-08-29T00:00:00+04:00"
"Эрик Фрэнк Рассел","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","66","Вы вели себя очень грубо","Станция","1996-09-06T00:00:00+04:00"
"Эрик Фрэнк Рассел","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","67","Мы с моей тенью","Станция","1996-09-06T00:00:00+04:00"
"Ольга Ларионова","2005-08-02T22:33:15+04:00","2006-09-23T01:35:54+04:00","1","68","Где королевская охота","Станция","1996-09-13T00:00:00+04:00"
"Эрик Фрэнк Рассел","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","69","Кресло забвения","Станция","1996-09-27T00:00:00+04:00"
"Эрик Фрэнк Рассел","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","70","Мыслитель","Станция","1996-09-27T00:00:00+04:00"
"Эрик Фрэнк Рассел","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","3","71","Ниточка к сердцу","Станция","1996-09-27T00:00:00+04:00"
"Пол Андерсон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","72","Звёздный зверь","Станция","1996-10-04T00:00:00+04:00"
"Пол Андерсон","2005-08-02T22:33:15+04:00","2006-01-25T22:28:26+03:00","1","73","Дон Kихот и ветряные мельницы","Станция","1996-10-11T00:00:00+04:00"
"Пол Андерсон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","74","Последний","Станция","1996-10-11T00:00:00+04:00"
"Индейские мифы","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","75","Индейские мифы","Станция","1996-10-18T00:00:00+04:00"
"Джек Холдеман","2005-08-02T22:33:15+04:00","2005-09-25T23:38:48+04:00","1","76","Братья по крови","Станция","1996-10-25T00:00:00+04:00"
"Лин Эбби","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","77","Лик хаоса","Станция","1996-10-25T00:00:00+04:00"
"Роберт Асприн","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","3","78","Мир Воров. Предисловие","Станция","1996-10-25T00:00:00+04:00"
"Пол Андерсон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","79","Врата летающих ножей","Станция","1996-10-31T00:00:00+03:00"
"Кристина де Вис","2012-02-11T16:14:05+04:00","2012-10-23T23:20:03+04:00","1","1321","Миртис","Станция","1996-11-07T00:00:00+03:00"
"Марион Зиммер Брэдли","2012-02-11T16:06:57+04:00","2012-10-23T23:20:25+04:00","2","1320","Секрет голубой звезды","Станция","1996-11-07T00:00:00+03:00"
"Михаил Успенский","2005-08-02T22:33:15+04:00","2012-10-21T22:26:53+04:00","1","14","Там, где нас нет (часть 1)","Станция","1996-11-14T00:00:00+03:00"
"Михаил Успенский","2005-08-02T22:33:15+04:00","2012-10-21T22:26:49+04:00","1","15","Там, где нас нет (часть 2)","Станция","1996-11-21T00:00:00+03:00"
"Михаил Успенский","2005-08-02T22:33:15+04:00","2012-10-21T22:26:44+04:00","1","16","Там, где нас нет (часть 3)","Станция","1996-11-28T00:00:00+03:00"
"Михаил Успенский","2005-08-02T22:33:15+04:00","2012-10-21T22:26:40+04:00","1","17","Там, где нас нет (часть 4)","Станция","1996-12-05T00:00:00+03:00"
"Михаил Успенский","2005-08-02T22:33:15+04:00","2012-10-21T22:26:34+04:00","1","18","Там, где нас нет (часть 5)","Станция","1996-12-19T00:00:00+03:00"
"Михаил Успенский","2005-08-02T22:33:15+04:00","2012-10-21T22:26:29+04:00","1","19","Там, где нас нет (часть 6)","Станция","1996-12-26T00:00:00+03:00"
"Аркадий Гайдар","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","80","Мальчиш Кебальчиш","Станция","1997-05-02T00:00:00+04:00"
"Артур Конан Дойл","2005-08-02T22:33:15+04:00","2025-02-09T15:44:03+03:00","1","81","Сквозь пелену","Станция","1997-05-23T00:00:00+04:00"
"Артур Конан Дойл","2005-08-02T22:33:15+04:00","2025-02-09T15:44:12+03:00","2","82","Состязание","Станция","1997-05-23T00:00:00+04:00"
"Филип Жозе Фармер","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","83","Божий промысел","Станция","1997-06-27T00:00:00+04:00"
"Слушатель","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","84","Письмо из камеры смертников","Станция","1997-07-04T00:00:00+04:00"
"Филип Жозе Фармер","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","85","Вторничный ломтик мира","Станция","1997-07-04T00:00:00+04:00"
"Филип Жозе Фармер","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","3","86","На пути к возлюбленному городу","Станция","1997-07-04T00:00:00+04:00"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2006-05-15T01:17:02+04:00","1","87","Валери (из сборника проблемы с женщинами)","Станция","1997-08-01T00:00:00+04:00"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","88","Второй глаз Полифема","Станция","1997-08-01T00:00:00+04:00"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","3","89","Самый последний день хорошей женщины","Станция","1997-08-01T00:00:00+04:00"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","4","90","Эротофобия","Станция","1997-08-01T00:00:00+04:00"
"Харлан Эллисон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","5","91","Эссе о гневе и мести","Станция","1997-08-01T00:00:00+04:00"
"Валентин Рич","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","92","Полмиллиона часов","Станция","1997-08-22T00:00:00+04:00"
"Борис Штерн","2006-05-15T01:18:39+04:00","2008-12-29T11:49:00+03:00","1","1072","Спасать человека","Станция","1997-08-22T00:00:00+04:00"
"Уильям Гибсон","2005-08-02T22:33:15+04:00","2012-09-26T23:04:53+04:00","1","42","Осколки голографической розы","Станция","1997-09-19T00:00:00+04:00"
"Уильям Гибсон","2005-08-02T22:33:15+04:00","2012-09-26T23:05:00+04:00","2","43","Сожжение Хром","Станция","1997-09-19T00:00:00+04:00"
"Сергей Корнев","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","93","Последнее приключение мышонка Джерри","Станция","1997-09-26T00:00:00+04:00"
"Ли Дуглас Брэкетт","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","94","Не люди","Станция","1997-10-03T00:00:00+04:00"
"Ли Дуглас Брэкетт","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","95","Танцовщица с Ганимеда","Станция","1997-10-10T00:00:00+04:00"
"Ли Дуглас Брэкетт","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","96","Тени","Станция","1997-10-17T00:00:00+04:00"
"Ричард Матессон","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","97","Нажмите кнопку","Станция","1997-10-17T00:00:00+04:00"
"Айзек Азимов","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","98","Робот L-76 попадает не туда","Станция","1997-10-24T00:00:00+04:00"
"Альфред Ван Вогт","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","99","Зачарованная деревня","Станция","1997-10-24T00:00:00+04:00"
"Фредерик Браун","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","3","100","Купол","Станция","1997-10-24T00:00:00+04:00"
"Генри Каттнер","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","101","Музыкальная машина","Станция","1997-10-31T00:00:00+03:00"
"Роберт Хайнлайн","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","102","Дом, который построил Тил","Станция","1997-10-31T00:00:00+03:00"
"Рэй Бредбери","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","103","Ветер","Станция","1997-11-07T00:00:00+03:00"
"Рэй Бредбери","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","104","Марсианин","Станция","1997-11-07T00:00:00+03:00"
